author_id,author_name
0,
1,!?
2,!wille
3,#1 Golozer fan
4,#Axt
5,#BondOut
6,#D_infinite#
7,#Micro(D?)NovaX!
8,#SeB
9,#define
10,$Ab4ik
11,$heckles
12,$iggi
13,$ерж
14,&lt; J u l y &gt;
15,&lt; blank &gt;
16,&lt;&lt; sax0n &gt;&gt;
17,&lt;&lt;DoGo_8&gt;&gt;
18,&lt;3
19,&lt;@# CacHbIu_nepDo{JI-JI}ep #@&gt;
20,&lt;GNGWD&gt; CrocAsaurus
21,&lt;SPW jorditerratsmolina SPW&gt;
22,&lt;|BORK|&gt;
23,&quot;Anton Sommer&quot; Lover
24,"&quot;Ghosty, LT of 2&quot;"
25,&quot;I Am Alpharius&quot;
26,'Deniz
27,((((Semyon The Great))))
28,(*^-^*)v_MiraBM
29,(-b±√(b²-4ac))/(2a)
30,(0)Y(0)
31,(1)Dohg &lt;3
32,(1st_Prawns) Fodonzo
33,(C)onfederation(O)f(C)ool(K)ids
34,(CAPRA)ПП-2000
35,(Confidencial)
36,(GAOETW)Dhight
37,(Insert cool name here)
38,(NCP)&amp;Mete--
39,(O.T.A.N) Davidaf
40,(O_o)
41,(Unregistered refugee)
42,(Voice) samy5400
43,(^-^) (LFT)
44,(insert history meme here)
45,(ʃƪ˘ﻬ˘)♥(ノ°□°)ノ
46,(≧◡≦)
47,(♥).냉기.(♥)
48,(っ◔◡◔)っ ♥ Gelid ♥
49,(つ ¯ )つ
50,*IronCutie*
51,*Mr.Zman8* #SaveTF2
52,*Vexla
53,*snipes u*
54,+Grudge+
55,-
56,--
57,--성미--
58,-=NHS=- marchwinds
59,-=fritz=-
60,-AXISEMP-The Axis Emperor
61,-Aoba-
62,-DE- Koller
63,-E.M.A.N-溜号的狐狸
64,-FakeGermanBias-
65,-KV-  NEMESIS
66,-Zhourias-
67,-_-MAFIOZNIK-_-
68,-hg- Bobster707™
69,-k
70,-ktb-OddBall[Dk]
71,-sb- zveroboy
72,-⁧⁧𝓦𝓮𝓭𝓶𝓮𝓷
73,.
74,..
75,...
76,.....
77,.22 LR
78,.:gØ:.Sam
79,.DuKe.
80,.HUH.
81,.Monika.
82,._.
83,.lol
84,.murder CROX ♦
85,.passion SPEECHless
86,.wg Crackah ☕ #Rustypot
87,.✨
88,/ The Not Seeing Eye /
89,/ Z A P P /
90,/)
91,/Atmos
92,/Ricko el caos comunista
93,/watch?v=wYZ6og_A4Rs
94,003.sam.p
95,007DBR9
96,00喵了个咪00
97,0114017
98,01_barko
99,022KEZ
100,03bot55
101,03noster
102,0724hao
103,0827.shimosora
104,09
105,0Insomnia
106,0Lord Oscuro0
107,0SkyKhan0
108,0kib1-
109,0kib1_
110,0lly
111,0v0
112,0x1186
113,0x90
114,1
115,1+1+1=3
116,1. schwerer Panzerverband
117,1.54 88 88
118,100 адсоткавы ніка-
